City,Country,Latitude,Longitude,Cloudiness %,Humidity %,Temperature,Wind Speed (mph)
beringovskiy,RU,63.05,179.32,8,86,33.73,11.1
port-gentil,GA,-0.72,8.78,40,58,86.0,14.99
caravelas,BR,-17.71,-39.25,0,54,82.47,10.11
amasya,TR,40.67,35.83,20,17,91.4,5.82
inirida,CO,3.87,-67.92,89,69,86.58,2.57
bad hersfeld,DE,47.63,9.83,25,24,56.55,3.0
valle nacional,NO,59.21,7.54,67,72,60.57,5.17
rahimatpur,IN,17.6,74.2,100,88,71.74,4.59
dauriya,RU,49.93,116.87,2,68,41.2,11.95
obo,CF,5.4,26.49,24,81,80.42,2.04
qaqortoq,GL,60.72,-46.03,0,48,39.2,3.36
acajutla,SV,13.59,-89.83,0,100,76.59,3.4
havre-saint-pierre,CA,50.23,-63.6,90,87,51.8,3.36
tungor,RU,53.38,142.96,1,89,44.24,10.78
csakvar,HU,47.39,18.46,0,49,63.01,1.01
purpe,RU,64.48,76.69,99,82,55.0,4.0
sawakin,SD,19.11,37.33,1,58,90.21,10.11
touros,BR,-5.2,-35.46,40,55,86.0,12.75
shepsi,RU,44.04,39.15,1,72,75.72,1.14
aasiaat,GL,68.71,-52.87,100,94,32.18,5.57
dingle,PH,11.0,122.67,81,86,77.72,3.2
moramanga,MG,-18.93,48.2,94,84,65.75,4.81
talcahuano,CL,-36.72,-73.12,0,71,53.6,6.93
shebunino,RU,46.43,141.86,100,83,49.1,14.32
constitucion,CL,-35.33,-72.42,0,58,58.3,8.41
mariental,NA,-24.63,17.97,0,12,81.21,5.28
curuca,BR,-0.73,-47.85,7,51,91.0,8.46
pundaguitan,PH,6.37,126.17,62,73,84.07,6.24
tamandare,BR,-8.76,-35.1,81,68,81.9,10.42
kastamonu,TR,41.5,33.67,83,61,69.66,8.88
puerto escondido,ES,36.59,-6.23,20,60,78.4,16.11
cantavir,RS,45.92,19.76,43,43,64.33,8.28
yermakovskoye,RU,53.28,92.4,85,82,39.85,1.66
chadan,RU,51.28,91.58,0,70,39.34,3.96
padang,ID,-0.95,100.35,100,67,79.12,4.0
balkhash,KZ,46.84,74.98,0,46,50.86,15.37
gunjur,GM,13.2,-16.73,75,66,91.4,9.17
nyurba,RU,63.28,118.33,37,81,37.69,6.87
chimbote,PE,-9.09,-78.58,62,73,65.59,8.77
kapuskasing,CA,49.42,-82.43,75,100,59.0,5.82
sergeyevka,KZ,53.88,67.42,95,66,51.08,3.98
kindersley,CA,51.47,-109.17,20,65,41.0,17.22
port macquarie,CD,-7.03,29.76,57,43,86.2,2.62
inhambane,MZ,-23.86,35.38,40,83,80.4,13.87
apatou,GF,5.16,-54.35,43,43,93.15,4.56
pisco,PE,-13.7,-76.22,0,77,64.65,4.7
chapada dos guimaraes,BR,-28.89,-50.36,100,52,78.12,6.96
szombathely,HU,47.23,16.62,3,67,59.0,8.95
young,UY,-32.68,-57.63,67,86,57.99,7.0
san rafael,ML,13.3,-4.9,6,35,95.52,5.55
port-cartier,CA,50.03,-66.87,90,93,48.27,4.7
terme,TR,41.21,36.97,2,65,78.8,10.29
lerwick,GB,60.15,-1.15,40,81,51.8,4.7
zyryanovsk,KZ,49.74,84.27,100,65,43.34,1.39
deputatskiy,RU,69.3,139.9,100,96,37.78,3.31
ambilobe,MG,-13.2,49.05,67,69,76.1,0.45
taunsa,PK,30.7,70.65,0,15,86.22,2.06
bundaberg,AU,-24.85,152.35,0,67,57.63,8.05
sayhat,SA,26.49,50.04,0,31,99.52,11.41
chardara,KZ,41.25,67.97,60,31,63.75,9.04
lufilufi,WS,-13.87,-171.6,20,88,75.2,5.82
ust-kuyga,RU,70.02,135.6,0,94,32.99,3.78
solana beach,PH,17.7,121.67,99,90,77.94,2.1
kerouane,GN,9.27,-9.02,40,64,83.73,0.29
chernyshevskiy,RU,63.01,112.47,100,93,39.47,10.63
kimberley,ZA,-28.73,24.76,0,15,69.8,11.41
boguchany,RU,58.38,97.45,77,91,40.53,5.48
mildura,AU,-34.2,142.15,1,75,44.82,6.55
maniitsoq,GL,65.42,-52.9,15,80,36.19,8.95
manyana,BW,-23.4,21.72,0,11,84.92,13.29
aykhal,RU,66.0,111.5,90,100,33.8,6.71
petropavlovsk-kamchatskiy,RU,53.05,158.65,75,86,37.4,6.71
soure,BR,-0.72,-48.52,18,66,85.24,12.08
kismayo,SO,-0.36,42.55,46,78,79.3,12.35
nam tha,CN,29.42,90.91,55,44,58.05,5.37
khandbari,NP,27.37,87.2,10,73,71.6,1.61
conde,BR,-7.26,-34.91,40,58,86.0,12.75
jawhar,SO,2.78,45.5,50,61,80.74,18.84
leon valley,MX,21.12,-101.67,40,67,60.8,0.87
kasempa,ZM,-13.46,25.83,89,11,95.36,5.08
sarh,TD,9.14,18.39,40,69,85.23,3.56
matamoros,MX,25.53,-103.25,5,35,70.93,0.87
shimoda,JP,34.67,138.95,0,89,62.01,3.71
remanso,BR,-9.62,-42.08,75,38,86.56,8.41
gauripur,IN,26.08,89.96,100,92,77.4,5.19
barabai,ID,-2.58,115.38,90,90,74.37,1.14
wolfville,CA,45.08,-64.37,70,84,67.35,5.01
bonnyville,CA,54.27,-110.73,75,81,44.6,6.93
imbituba,BR,-28.24,-48.67,75,78,73.4,5.82
allonnes,FR,47.97,0.16,90,76,53.6,10.29
kashan,IR,33.98,51.44,22,18,79.88,4.45
chern,RU,53.45,36.91,33,45,59.83,13.65
polyarnyy,RU,69.2,33.45,20,70,46.4,4.47
oussouye,SN,12.48,-16.55,75,67,93.2,9.17
palmer,US,42.16,-72.33,90,83,69.53,5.82
ramos arizpe,PH,15.68,120.63,90,74,82.4,4.7
oriximina,BR,-1.77,-55.87,11,48,91.89,3.89
kaeo,NZ,-35.1,173.78,2,87,57.0,10.0
adrar,MR,20.5,-10.07,0,11,102.34,11.12
yairipok,IN,24.67,94.07,73,94,70.38,0.72
gizo,SB,-8.1,156.84,100,73,83.07,10.85
lang son,AT,46.84,15.5,40,58,58.91,12.75
koslan,RU,63.46,48.9,98,85,54.36,4.16
acapulco,MX,16.86,-99.89,75,78,82.4,4.7
cagayan de oro,PH,6.97,118.51,51,74,84.56,11.63
faya,SA,18.39,42.45,20,11,82.4,16.11
alekseyevsk,RU,57.84,108.35,91,81,41.56,8.3
muzhi,RU,65.37,64.67,80,72,50.9,11.77
posse,BR,-14.09,-46.37,0,16,96.87,4.18
mirabad,AF,30.44,61.84,0,15,80.89,9.06
erzin,TR,36.96,36.2,0,77,82.99,8.01
farrukhnagar,IN,17.08,78.2,75,83,77.36,4.7
dongsheng,CN,39.82,109.98,32,64,59.58,12.62
gordeyevka,RU,52.96,31.97,100,58,60.75,15.46
estrela,BR,-28.06,-50.94,93,55,76.28,6.49
piacabucu,BR,-10.41,-36.43,14,69,81.99,10.45
bonthe,SL,7.53,-12.51,87,72,81.64,10.74
marrakesh,MA,31.63,-8.01,0,30,86.0,2.24
guerrero negro,MX,17.67,-100.0,41,74,73.92,1.34
sept-iles,CA,50.2,-66.38,90,93,48.18,4.7
vestmanna,FO,62.16,-7.17,100,81,48.2,17.22
bud,US,39.45,-86.18,90,93,65.7,6.93
phalia,PK,32.43,73.58,0,25,84.67,6.62
teguldet,RU,57.31,88.17,78,87,41.49,3.94
sangmelima,CM,2.93,11.98,68,95,72.73,5.08
palmas,BR,-10.21,-48.36,20,49,89.6,9.17
rostovka,RU,55.38,71.89,100,82,47.89,5.7
akdepe,TM,42.06,59.38,88,29,62.6,9.17
candido mendes,CO,1.25,-75.6,55,59,85.68,3.13
calama,CL,-22.47,-68.93,0,11,66.2,5.82
luwuk,ID,-0.95,122.79,97,77,78.3,5.91
kalengwa,ZM,-13.47,25.0,5,13,96.22,2.8
doraha,IN,30.82,76.02,0,30,81.18,5.66
panubigan,PH,7.43,123.35,100,79,80.62,3.2
valley city,US,45.13,-116.13,75,86,37.4,2.75
moba,CN,33.23,105.02,100,100,48.79,4.32
labuhan,ID,-6.88,112.21,77,75,79.63,11.68
kuito,AO,-12.38,16.93,60,18,86.31,7.0
khorramshahr,IR,30.44,48.17,0,8,100.9,11.07
chabahar,IR,25.29,60.64,0,74,87.8,11.41
ibicui,BR,-14.84,-39.99,37,42,84.61,5.3
keti bandar,AM,40.87,43.84,13,25,75.2,1.12
whitianga,NZ,-36.83,175.7,8,92,55.99,5.01
kandrian,PG,-6.22,149.55,41,88,77.94,7.49
sassandra,CI,4.95,-6.08,50,82,79.36,9.24
letterkenny,IE,54.95,-7.73,20,62,59.0,4.7
pinawa,CA,50.15,-95.88,100,82,53.02,14.76
cowra,AU,-33.83,148.68,0,84,35.01,2.04
